Country,Baseline MAE,LR MAE,RF MAE,Baseline RMSE,LR RMSE,RF RMSE,Best Model,ETS MAE,ETS RMSE,Overall Best Model
Australia,7.75,37.01,8.66,9.86,38.43,9.75,Baseline,22.479166797792033,26.25766775833001,Naive Baseline
Brazil,23.48,37.37,10.84,29.39,46.04,13.25,Random Forest,16.048179449118535,21.00730648358247,Random Forest
China,341.25,96.93,976.38,353.94,97.02,1047.96,Linear Regression,189.4209446966629,248.4343504734078,Linear Regression
Germany,38.14,31.07,84.49,42.85,42.75,86.7,Linear Regression,78.56482633145569,81.01861718040455,Linear Regression
India,153.2,68.89,128.1,176.02,86.95,191.22,Linear Regression,235.9984118233599,260.18260511073316,Linear Regression
Japan,37.83,16.91,91.67,41.26,20.38,94.37,Linear Regression,81.87110175451784,86.59391066823319,Linear Regression
Russia,30.39,16.84,15.27,42.17,22.84,19.48,Random Forest,36.701377744236424,40.57690518159988,Random Forest
South Africa,16.81,29.59,9.58,20.46,33.14,9.96,Random Forest,19.958726766538007,20.451691147850696,Random Forest
United Kingdom,25.2,56.11,30.65,27.12,63.4,33.15,Baseline,10.019116770091074,11.874578808101786,ETS
United States,259.18,217.32,293.08,325.59,248.18,351.74,Linear Regression,291.51893983616924,351.3052388747585,Linear Regression
