Country,Year,Forecast CO₂
Australia,2019,416.58
Australia,2020,418.26
Australia,2021,419.82
Australia,2022,421.28
Australia,2023,422.63
Australia,2024,423.9
Australia,2025,425.07
Australia,2026,426.17
Australia,2027,427.19
Australia,2028,428.15
Australia,2029,429.03
Australia,2030,429.86
Australia,2031,430.63
Australia,2032,431.35
Australia,2033,432.01
Australia,2034,432.64
Australia,2035,433.22
Australia,2036,433.76
Australia,2037,434.26
Australia,2038,434.73
Australia,2039,435.17
Australia,2040,435.57
Australia,2041,435.95
Australia,2042,436.31
Australia,2043,436.63
Brazil,2019,481.62
Brazil,2020,486.41
Brazil,2021,491.0
Brazil,2022,495.38
Brazil,2023,499.57
Brazil,2024,503.57
Brazil,2025,507.4
Brazil,2026,511.06
Brazil,2027,514.56
Brazil,2028,517.9
Brazil,2029,521.1
Brazil,2030,524.16
Brazil,2031,527.08
Brazil,2032,529.87
Brazil,2033,532.54
Brazil,2034,535.1
Brazil,2035,537.54
Brazil,2036,539.87
Brazil,2037,542.1
Brazil,2038,544.23
Brazil,2039,546.27
Brazil,2040,548.22
Brazil,2041,550.08
Brazil,2042,551.86
Brazil,2043,553.56
China,2019,10627.68
China,2020,10871.43
China,2021,11082.95
China,2022,11266.5
China,2023,11425.78
China,2024,11564.0
China,2025,11683.94
China,2026,11788.03
China,2027,11878.35
China,2028,11956.73
China,2029,12024.74
China,2030,12083.76
China,2031,12134.98
China,2032,12179.42
China,2033,12217.99
China,2034,12251.46
China,2035,12280.5
China,2036,12305.7
China,2037,12327.57
China,2038,12346.55
China,2039,12363.02
China,2040,12377.31
China,2041,12389.71
China,2042,12400.48
China,2043,12409.81
Germany,2019,764.61
Germany,2020,757.5
Germany,2021,750.43
Germany,2022,743.39
Germany,2023,736.39
Germany,2024,729.42
Germany,2025,722.49
Germany,2026,715.59
Germany,2027,708.73
Germany,2028,701.9
Germany,2029,695.1
Germany,2030,688.34
Germany,2031,681.61
Germany,2032,674.92
Germany,2033,668.26
Germany,2034,661.63
Germany,2035,655.04
Germany,2036,648.48
Germany,2037,641.95
Germany,2038,635.45
Germany,2039,628.99
Germany,2040,622.56
Germany,2041,616.16
Germany,2042,609.8
Germany,2043,603.46
India,2019,2693.11
India,2020,2812.24
India,2021,2930.76
India,2022,3048.7
India,2023,3166.04
India,2024,3282.8
India,2025,3398.98
India,2026,3514.57
India,2027,3629.59
India,2028,3744.03
India,2029,3857.9
India,2030,3971.2
India,2031,4083.93
India,2032,4196.1
India,2033,4307.71
India,2034,4418.76
India,2035,4529.25
India,2036,4639.2
India,2037,4748.59
India,2038,4857.44
India,2039,4965.74
India,2040,5073.5
India,2041,5180.72
India,2042,5287.41
India,2043,5393.56
Japan,2019,1138.65
Japan,2020,1138.72
Japan,2021,1138.78
Japan,2022,1138.83
Japan,2023,1138.87
Japan,2024,1138.9
Japan,2025,1138.93
Japan,2026,1138.95
Japan,2027,1138.96
Japan,2028,1138.97
Japan,2029,1138.98
Japan,2030,1138.99
Japan,2031,1139.0
Japan,2032,1139.0
Japan,2033,1139.01
Japan,2034,1139.01
Japan,2035,1139.01
Japan,2036,1139.02
Japan,2037,1139.02
Japan,2038,1139.02
Japan,2039,1139.02
Japan,2040,1139.02
Japan,2041,1139.02
Japan,2042,1139.02
Japan,2043,1139.02
Russia,2019,1686.9
Russia,2020,1696.52
Russia,2021,1704.22
Russia,2022,1710.38
Russia,2023,1715.31
Russia,2024,1719.26
Russia,2025,1722.41
Russia,2026,1724.93
Russia,2027,1726.95
Russia,2028,1728.57
Russia,2029,1729.86
Russia,2030,1730.89
Russia,2031,1731.72
Russia,2032,1732.38
Russia,2033,1732.91
Russia,2034,1733.33
Russia,2035,1733.67
Russia,2036,1733.94
Russia,2037,1734.16
Russia,2038,1734.33
Russia,2039,1734.47
Russia,2040,1734.58
Russia,2041,1734.67
Russia,2042,1734.74
Russia,2043,1734.8
South Africa,2019,453.16
South Africa,2020,454.28
South Africa,2021,455.3
South Africa,2022,456.23
South Africa,2023,457.06
South Africa,2024,457.83
South Africa,2025,458.52
South Africa,2026,459.14
South Africa,2027,459.71
South Africa,2028,460.22
South Africa,2029,460.69
South Africa,2030,461.12
South Africa,2031,461.5
South Africa,2032,461.85
South Africa,2033,462.17
South Africa,2034,462.45
South Africa,2035,462.71
South Africa,2036,462.95
South Africa,2037,463.16
South Africa,2038,463.36
South Africa,2039,463.53
South Africa,2040,463.69
South Africa,2041,463.84
South Africa,2042,463.97
South Africa,2043,464.09
United Kingdom,2019,358.14
United Kingdom,2020,341.96
United Kingdom,2021,325.87
United Kingdom,2022,309.85
United Kingdom,2023,293.92
United Kingdom,2024,278.06
United Kingdom,2025,262.29
United Kingdom,2026,246.59
United Kingdom,2027,230.97
United Kingdom,2028,215.43
United Kingdom,2029,199.97
United Kingdom,2030,184.58
United Kingdom,2031,169.27
United Kingdom,2032,154.04
United Kingdom,2033,138.88
United Kingdom,2034,123.8
United Kingdom,2035,108.8
United Kingdom,2036,93.87
United Kingdom,2037,79.01
United Kingdom,2038,64.23
United Kingdom,2039,49.53
United Kingdom,2040,34.89
United Kingdom,2041,20.33
United Kingdom,2042,5.85
United Kingdom,2043,-8.57
United States,2019,5299.87
United States,2020,5293.84
United States,2021,5288.9
United States,2022,5284.85
United States,2023,5281.53
United States,2024,5278.81
United States,2025,5276.57
United States,2026,5274.74
United States,2027,5273.24
United States,2028,5272.02
United States,2029,5271.01
United States,2030,5270.18
United States,2031,5269.5
United States,2032,5268.95
United States,2033,5268.49
United States,2034,5268.12
United States,2035,5267.81
